chrom,end,score,strand,read_density,clip_length
chr1,26475972,6,-,513,66.2943469785575
chr1,26469226,6,+,5,39.2
chr1,26475287,3,+,3,53.0
chr1,26475896,21,+,7,89.14285714285714
chr1,26475564,11,+,3,7.666666666666667
chr1,26475604,4,+,5,6.0
chr1,26475839,8,+,6,26.166666666666668
chr1,26575029,6,+,24,70.83333333333333
chr1,26798389,4,+,1,95.0
chr1,26946398,27,+,130,66.26153846153846
chr1,26946362,7,+,18,77.27777777777777
chr1,27208605,3,-,4,122.0
chr1,27208749,73,-,201,57.26865671641791
chr1,27336400,15,+,13,78.3076923076923
chr1,27613727,15,-,16,37.125
chr1,27621012,4,-,5,26.2
chr1,27626593,10,-,5,35.6
chr1,27669348,11,-,6,85.0
chr1,27672231,110,-,9,38.0
chr1,27907282,5,-,2,98.0
chr1,27914613,54,-,8,20.125
chr1,27886679,14,+,31,96.58064516129032
chr1,28238105,3,+,491,60.4949083503055
chr1,28236452,5,+,4,84.5
chr1,28237965,19,+,5,38.8
chr1,28096444,5,-,14,66.5
chr1,28233031,3,-,82,44.24390243902439
chr1,28229026,5,-,6,184.5
chr1,28247214,5,-,3,24.666666666666668
chr1,28579981,7,-,2,329.0
chr1,28580329,39,-,38,97.3157894736842
chr1,28581873,17,-,20,33.05
chr1,28643107,22,-,5,33.2
chr1,28509647,84,+,116,59.525862068965516
chr1,28538990,6,+,18,70.88888888888889
chr1,28769150,17,+,20,37.4
chr1,29181869,11,-,16,42.25
chr1,29230938,14,-,12,46.25
chr1,30737700,4,-,11,102.0
chr1,30739060,5,-,10,151.9
chr1,30739939,5,-,4,39.75
chr1,30741717,9,-,15,162.53333333333333
chr1,30742550,5,-,8,85.875
chr1,30757845,135,-,158,63.822784810126585
chr1,30757872,3,-,58,59.62068965517241
chr1,31262560,12,-,12,51.083333333333336
chr1,31348979,12,+,15,75.6
chr1,31364174,14,+,20,37.95
chr1,31373079,18,-,17,24.529411764705884
chr1,31916376,4,-,9,42.55555555555556
chr1,31919168,3,-,10,64.0
chr1,31919485,17,-,868,36.99654377880184
chr1,31910114,11,-,9,76.55555555555556
chr1,31916005,10,-,4,69.0
chr1,31919215,8,-,13,92.07692307692308
chr1,31919293,10,-,10,100.0
chr1,31919353,7,-,10,136.8
chr1,31919380,4,-,9,118.55555555555556
chr1,31919411,11,-,11,38.0
chr1,31943164,5,-,3,9.0
chr1,32102867,8,+,17,62.1764705882353
chr1,32204379,5,+,3,264.6666666666667
chr1,32198285,7,-,16,69.0625
chr1,32336110,9,-,6,82.16666666666667
chr1,32336194,9,-,10,175.3
chr1,32336246,44,-,55,35.472727272727276
chr1,32231541,8,+,3,21.666666666666668
chr1,32231604,71,+,145,79.98620689655172
chr1,32286169,26,+,46,82.47826086956522
chr1,32333635,39,+,66,74.96969696969697
chr1,32650591,7,-,8,26.5
chr1,32680653,3,-,57,73.49122807017544
chr1,32817359,15,-,9,206.0
chr1,32680505,3,+,9,115.66666666666667
chr1,32856235,7,+,2,66.0
chr1,33024569,3,-,9,114.11111111111111
chr1,34985347,39,-,19,90.42105263157895
chr1,35178093,18,-,1,14.0
chr1,35178633,15,-,5,213.0
chr1,35178909,209,-,199,41.778894472361806
chr1,35198640,3,-,6,50.833333333333336
chr1,35641544,11,-,131,60.786259541984734
chr1,35609409,12,-,9,71.55555555555556
chr1,35636433,9,-,4,96.25
chr1,35641469,67,-,24,107.04166666666667
chr1,35641567,4,-,34,30.352941176470587
chr1,36093932,32,+,34,64.0
chr1,36140165,3,-,3,215.33333333333334
chr1,36149524,24,-,5,22.2
chr1,36139819,3,-,4,358.75
chr1,36301679,3,+,1,76.0
chr1,36305357,13,+,51,86.29411764705883
chr1,36464390,3,-,81,53.67901234567901
chr1,36456271,51,-,50,28.68
chr1,36459423,7,-,7,46.285714285714285
chr1,36462170,6,-,6,238.5
chr1,37569019,4,-,2,465.0
chr1,37569059,6,-,2,328.5
chr1,37861753,9,+,12,42.5
chr1,37872085,3,-,7,37.285714285714285
chr1,37931751,3,-,6,42.5
chr1,38023808,22,+,25,63.2
chr1,38873090,3,-,2,84.5
chr1,39005901,8,+,14,56.0
chr1,39034632,339,+,372,73.17204301075269
chr1,39562204,12,-,5,305.0
chr1,39569954,4,-,4,104.5
chr1,39753706,52,+,112,65.23214285714286
chr1,39754044,3,+,5,60.8
chr1,39969959,8,+,10,64.6
chr1,40072080,27,+,9,60.55555555555556
chr1,40072649,37,+,71,73.71830985915493
chr1,40294180,4,+,7,51.42857142857143
chr1,40422117,8,+,14,97.57142857142857
chr1,40312633,3,-,3,42.0
chr1,40771121,8,+,20,58.7
chr1,41011828,4,+,3,33.333333333333336
chr1,42335272,4,-,1,61.0
chr1,42500418,35,-,81,85.30864197530865
chr1,42702363,40,-,3410,60.76715542521994
chr1,42460415,51,+,61,69.09836065573771
chr1,42473385,7,+,9,59.44444444444444
chr1,42500417,51,+,81,85.30864197530865
chr1,42696911,5,+,2,41.5
chr1,42697263,16,+,18,91.55555555555556
chr1,42700871,40,+,18,49.72222222222222
chr1,42701046,4,+,13,67.61538461538461
chr1,42702119,3,+,21,8.476190476190476
chr1,42702281,3,+,81,60.81481481481482
chr1,42702204,11,+,28,17.428571428571427
chr1,42702217,5,+,30,11.833333333333334
chr1,42702252,6,+,41,46.41463414634146
chr1,42702260,6,+,48,39.854166666666664
chr1,42717006,13,+,19,32.78947368421053
chr1,42775527,12,+,12,63.25
chr1,42775583,8,+,3,73.33333333333333
chr1,42817334,30,-,11,175.0
chr1,42852477,5,+,5,63.4
chr1,43172192,6,-,3,388.6666666666667
chr1,43164807,13,-,11,291.8181818181818
chr1,43170862,4,-,2,457.0
chr1,43171649,8,-,3,160.66666666666666
chr1,43365624,7,-,6,98.66666666666667
chr1,43368037,41,-,11,37.36363636363637
chr1,43388434,4,-,14,54.5
chr1,43363203,32,+,58,80.82758620689656
chr1,43978272,8,+,135,69.08888888888889
chr1,44319746,11,-,12,135.91666666666666
chr1,44339327,21,-,16,46.875
chr1,44352927,7,-,7,58.57142857142857
chr1,44780755,9,-,43,26.162790697674417
chr1,44778760,3,+,2769,68.50451426507765
chr1,44777789,45,+,48,80.45833333333333
chr1,44778129,217,+,72,147.86111111111111
chr1,44781573,20,+,32,130.40625
chr1,44789293,7,+,12,43.416666666666664
chr1,44794229,4,+,6,42.166666666666664
chr1,44811245,7,+,11,19.545454545454547
chr1,45570031,39,+,227,81.40528634361233
chr1,45567847,3,+,5,24.4
chr1,45568686,3,+,3,174.66666666666666
chr1,45514640,16,-,12,315.5
chr1,45515809,25,-,18,129.66666666666666
chr1,45519056,81,-,80,127.275
chr1,45521948,441,-,7,38.142857142857146
chr1,45606557,4,+,5,51.6
chr1,45614187,4,+,12,62.916666666666664
chr1,45694439,21,+,24,55.541666666666664
chr1,46316710,19,+,10,125.9
chr1,46316778,656,+,741,64.84615384615384
chr1,46362193,10,+,20,66.7
chr1,46198449,5,-,5,29.8
chr1,46316776,3,-,743,64.80619111709287
chr1,47377782,8,+,11,62.45454545454545
chr1,47378839,9,+,14,63.07142857142857
chr1,51788417,10,+,19,65.36842105263158
chr1,51788471,5,+,8,69.0
chr1,51790990,7,-,2,341.0
chr1,51878775,8,-,4,26.0
chr1,52086979,34,+,24,113.5
chr1,52086982,5,+,23,114.56521739130434
chr1,52086987,3,+,23,114.56521739130434
chr1,52087162,32,+,35,135.71428571428572
chr1,52088419,6,+,9,52.888888888888886
chr1,52439091,4,-,4,40.0
chr1,52608926,9,+,3,62.0
chr1,52772676,14,-,32,54.46875
chr1,52921779,3,-,3,97.33333333333333
chr1,52887053,5,+,5,22.6
chr1,53051613,56,+,67,70.6268656716418
chr1,53220345,8,-,7,167.42857142857142
chr1,53930146,5,-,1,154.0
chr1,53940101,36,-,34,79.11764705882354
chr1,53945664,78,-,24,44.708333333333336
chr1,53945676,9,-,22,42.72727272727273
chr1,53945700,11,-,16,36.3125
chr1,53946314,15,-,12,192.33333333333334
chr1,54036717,3,-,2,31.5
chr1,54053266,18,-,19,35.05263157894737
chr1,54218384,70,+,102,67.32352941176471
chr1,54742308,5,+,14,77.78571428571429
chr1,58056505,7,-,10,55.4
chr1,61723786,5,-,4,200.0
chr1,61725042,47,-,2,235.0
chr1,63448348,7,-,6,42.0
chr1,63454472,4,-,5,268.4
chr1,63490218,7,-,5,107.0
chr1,63508570,8,-,12,245.0
chr1,63523248,54,-,7,59.57142857142857
chr1,63589753,8,+,10,67.2
chr1,63660245,10,+,23,74.95652173913044
chr1,64839170,4,-,4,59.5
chr1,65227029,3,+,14,46.07142857142857
chr1,65227226,3,+,10,55.8
chr1,65227496,7,+,23,65.34782608695652
chr1,66963160,7,+,7,49.142857142857146
chr1,66987695,4,+,1,144.0
chr1,66987666,7,-,12,66.91666666666667
chr1,67420152,3,-,9,109.66666666666667
chr1,67430418,4,-,65,42.76923076923077
chr1,67415278,6,-,5,700.0
chr1,67425213,7,-,6,9.5
chr1,67426219,3,-,4,189.5
chr1,67430252,18,-,14,37.07142857142857
chr1,67430268,5,-,18,76.05555555555556
chr1,67430351,22,-,36,107.52777777777777
chr1,67426285,3,-,6,174.16666666666666
chr1,70250684,3,+,19,65.26315789473684
chr1,70237557,4,+,8,53.625
chr1,70244815,11,+,14,72.64285714285714
chr1,70246903,3,+,3,75.66666666666667
chr1,70250047,8,+,15,68.13333333333334
chr1,70252020,5,+,30,68.96666666666667
chr1,71081057,7,-,19,51.1578947368421
chr1,74205529,5,+,6,47.833333333333336
chr1,74764415,31,+,36,66.63888888888889
chr1,74707095,11,-,12,25.5
chr1,74719374,6,-,4,155.5
chr1,74724834,4,-,6,103.5
chr1,74733075,42,-,21,73.66666666666667
chr1,75762768,3,+,4,67.5
chr1,75763221,4,+,7,54.285714285714285
chr1,75763480,11,+,90,84.56666666666666
chr1,75763499,26,+,87,85.02298850574712
chr1,75763662,3,+,1,92.0
chr1,76701013,39,+,74,58.63513513513514
chr1,77129737,20,+,21,54.904761904761905
chr1,77135804,5,+,5,64.0
chr1,77156100,12,+,13,50.46153846153846
chr1,77773785,28,+,26,32.30769230769231
chr1,77702177,10,-,14,43.0
chr1,77773774,22,-,29,32.310344827586206
chr1,77936029,19,+,3,108.0
chr1,77936106,4,+,4,52.5
chr1,77946337,7,-,6,41.833333333333336
chr1,77947795,30,-,31,35.54838709677419
chr1,77948648,37,-,37,36.108108108108105
chr1,77979110,14,-,5,39.8
chr1,78645349,8,-,21,65.52380952380952
chr1,78628237,8,+,4,66.25
chr1,78630284,16,+,7,73.14285714285714
chr1,78642169,4,+,9,48.22222222222222
chr1,78642421,67,+,126,47.74603174603175
chr1,78642481,3,+,2,53.5
chr1,78642803,13,+,67,73.46268656716418
chr1,78642683,3,+,5,89.0
chr1,78645354,9,+,21,65.52380952380952
chr1,78664078,6,+,66,69.25757575757575
chr1,84497683,12,+,32,73.4375
chr1,84501948,25,-,18,209.0
chr1,84501970,13,-,16,170.3125
chr1,84506188,551,-,501,52.49900199600798
chr1,84506205,133,-,301,54.06644518272425
chr1,84506219,13,-,158,46.24050632911393
chr1,84506637,7,-,1,3.0
chr1,84930016,18,-,2,36.5
chr1,84930283,7,-,16,55.0
chr1,84997140,5,-,7,45.42857142857143
chr1,85276634,4,-,4,55.5
chr1,86743589,4,+,16,61.125
chr1,86785510,11,+,14,43.785714285714285
chr1,86903449,13,-,11,149.0909090909091
chr1,87345417,13,+,13,46.0
chr1,88891567,50,-,50,58.76
chr1,88992804,8,-,4,40.5
chr1,89104844,11,-,2,98.0
chr1,89104951,47,-,35,49.857142857142854
chr1,91511897,5,+,5,29.8
chr1,92298998,4,-,4,13.5
chr1,92833662,9,+,4,148.75
chr1,92834913,8,+,8,21.5
chr1,92836303,17,+,14,95.21428571428571
chr1,92836355,8,+,20,37.55
chr1,92836380,5,+,20,32.25
chr1,92836392,7,+,16,39.0
chr1,92837583,36,+,36,102.5
chr1,92837634,28,+,52,156.34615384615384
chr1,92840650,230,+,185,61.02162162162162
chr1,92841879,50,+,92,98.66304347826087
chr1,92841925,1558,+,2261,69.47943387881469
chr1,93127301,4,+,6,70.16666666666667
chr1,93360973,6,+,6,77.16666666666667
chr1,93180437,16,-,4,25.5
chr1,93345852,3,-,20,26.8
chr1,93368659,6,-,8,99.0
chr1,93873474,10,-,3,81.0
chr1,93876504,8,-,2,249.0
chr1,95247225,16,+,22,57.04545454545455
chr1,96448452,3,+,6,126.66666666666667
chr1,96448638,87,+,224,54.388392857142854
chr1,96448561,7,-,6,55.166666666666664
chr1,96448592,3,-,16,53.4375
chr1,96448631,74,-,226,54.2212389380531
chr1,96679642,32,+,63,103.31746031746032
chr1,96679644,32,-,63,103.31746031746032
chr1,100083239,9,+,5,70.0
chr1,100291779,22,+,38,60.5
chr1,101025814,4,-,26,36.61538461538461
chr1,101241518,15,+,18,56.388888888888886
chr1,101390337,19,+,21,57.80952380952381
chr1,101410279,21,-,5,28.0
chr1,101410344,3,-,4,37.5
chr1,101787304,48,+,67,57.208955223880594
chr1,108992882,13,-,34,60.470588235294116
chr1,108992898,17,+,34,60.470588235294116
chr1,109094801,5,+,5,65.2
chr1,109411113,6,-,3,307.0
chr1,109413137,5,-,5,164.4
chr1,109415365,9,-,7,194.57142857142858
chr1,109421928,12,-,12,75.25
chr1,109426450,152,-,85,105.70588235294117
chr1,109661706,20,+,32,76.78125
chr1,109665503,4,+,7,54.285714285714285
chr1,109675165,9,+,1,169.0
chr1,109675289,10,+,25,74.6
chr1,109693690,4,+,3,100.66666666666667
chr1,109693718,4,+,27,88.0
chr1,109693752,43,+,52,78.67307692307692
chr1,110404036,18,-,9,147.11111111111111
chr1,110406384,19,-,18,112.22222222222223
chr1,110407706,295,-,105,61.78095238095238
chr1,110407715,6,-,75,66.58666666666667
chr1,110899503,4,+,3,5.666666666666667
chr1,110899932,82,+,279,65.74193548387096
chr1,110899253,5,+,4,87.25
chr1,110899806,5,+,3,135.66666666666666
chr1,111120428,3,-,19,58.73684210526316
chr1,111140159,5,-,8,39.875
chr1,111124881,5,-,5,436.0
chr1,111128033,10,-,12,47.5
chr1,111137597,3,-,5,88.6
chr1,111140216,3,-,2,44.5
chr1,111185104,4,+,7,76.28571428571429
chr1,111188282,8,-,3,188.66666666666666
chr1,111190168,11,-,105,53.42857142857143
chr1,111190184,82,-,102,54.88235294117647
chr1,111200216,21,-,9,22.0
chr1,111200715,7,-,3,53.0
chr1,111448805,4,-,1,461.0
chr1,111456755,6,+,4,214.25
chr1,111461144,6,+,5,0.6
chr1,111461242,76,+,3,84.0
chr1,111461412,238,+,36,65.11111111111111
chr1,111713119,62,+,101,64.35643564356435
chr1,111713170,3,+,7,72.85714285714286
chr1,112671619,44,-,106,64.04716981132076
chr1,112670351,3,+,6,59.0
chr1,112671060,4,+,15,52.46666666666667
chr1,112671618,16,+,106,64.04716981132076
chr1,112700752,5,+,20,58.25
chr1,114575734,4,-,2,82.5
chr1,114718733,3,-,9,278.44444444444446
chr1,114718746,3,-,8,251.125
chr1,114720718,6,-,2,6.0
chr1,114723988,3,-,2,684.0
chr1,114750209,4,-,9,99.88888888888889
chr1,116404775,14,+,120,68.875
chr1,116544509,4,-,1,125.0
chr1,116544605,9,-,18,131.5
chr1,116571030,85,-,33,34.90909090909091
chr1,116571050,4,-,16,25.875
chr1,117102662,3,+,4,78.0
chr1,117960061,8,+,12,66.41666666666667
chr1,119744213,7,+,9,86.11111111111111
chr1,120156626,6,-,19,52.526315789473685
chr1,120176502,3,-,18,35.888888888888886
chr1,120176524,6,-,17,34.35294117647059
chr1,120341891,9,-,18,59.166666666666664
chr1,120342121,6,-,1,234.0
chr1,120793878,8,+,10,60.9
chr1,120953465,20,+,27,67.25925925925925
chr1,121013927,5,+,9,78.88888888888889
chr1,121183931,3,-,3,201.0
chr1,143971582,3,-,3,201.0
chr1,144250300,11,-,15,33.2
chr1,144561059,6,-,4,30.5
chr1,144739346,11,+,12,86.5
chr1,145111741,5,+,2,3.5
chr1,145112620,10,+,13,66.6923076923077
chr1,145670464,6,+,17,81.47058823529412
chr1,145842511,14,+,21,70.0952380952381
chr1,145824085,5,-,7,18.857142857142858
chr1,145917819,9,-,8,83.125
chr1,145918743,32,-,11,41.0
chr1,145926618,5,-,2,258.0
chr1,145926887,11,-,5,158.4
chr1,145927079,10,-,9,240.55555555555554
chr1,145996630,11,-,1,66.0
chr1,145978051,8,+,8,59.125
chr1,145978849,10,+,16,70.875
chr1,146321431,6,-,17,54.35294117647059
chr1,146328218,6,-,11,287.3636363636364
chr1,147179968,7,-,17,70.0
chr1,147179965,7,+,17,70.0
chr1,147670252,6,-,4,25.0
chr1,147670519,4,-,4,12.75
chr1,147993341,7,+,17,81.47058823529412
chr1,148772230,6,-,15,56.06666666666667
chr1,148784594,11,-,23,195.3913043478261
chr1,149251069,6,+,18,61.0
chr1,149358720,11,+,4,71.25
chr1,149359464,6,+,13,48.61538461538461
chr1,149647626,10,+,27,65.11111111111111
chr1,149705721,4,+,9,78.88888888888889
chr1,149834473,16,+,14,67.92857142857143
chr1,149834633,14,+,12,58.333333333333336
chr1,149860579,14,-,34,40.73529411764706
chr1,149927299,4,-,5,91.0
chr1,150220226,10,-,42,41.714285714285715
chr1,150269007,10,-,5,24.2
chr1,150308378,7,-,34,67.82352941176471
chr1,150220227,12,+,42,41.714285714285715
chr1,150280926,3,+,19,73.73684210526316
chr1,150308386,198,+,30,69.43333333333334
chr1,150353229,4,+,3,22.333333333333332
chr1,150507297,4,+,5,177.0
chr1,150618363,5,-,12,31.5
chr1,150629137,7,-,9,50.77777777777778
chr1,150629615,42,-,38,46.1578947368421
chr1,150764764,4,-,6,77.83333333333333
chr1,150765806,33,-,5,45.4
chr1,151059658,19,-,4,53.75
chr1,151159749,11,+,11,62.81818181818182
chr1,151247942,6,+,10,50.3
chr1,151266590,4,+,6,157.33333333333334
chr1,151327441,6,-,1,57.0
chr1,151346608,3,-,9,70.55555555555556
chr1,151401944,3,+,823,61.15552855407047
chr1,151400586,13,+,9,75.44444444444444
chr1,151400845,6,+,3,117.33333333333333
chr1,151401355,8,+,10,56.2
chr1,151401632,10,+,10,170.7
chr1,151442729,5,-,6,57.833333333333336
chr1,151760926,6,-,7,24.285714285714285
chr1,151763508,48,-,43,37.348837209302324
chr1,152033808,6,-,3,116.33333333333333
chr1,153535361,11,-,7,96.57142857142857
chr1,153536071,97,-,41,32.390243902439025
chr1,153536081,7,-,30,35.4
chr1,153536156,5,-,4,54.0
chr1,153536253,12,-,12,67.0
chr1,153536262,3,-,7,45.714285714285715
chr1,153544811,10,-,6,72.66666666666667
chr1,153545811,59,-,55,42.945454545454545
chr1,153626534,9,-,6,62.5
chr1,153627594,23,-,8,37.875
chr1,153645472,23,+,22,70.0
chr1,153661435,14,+,12,70.66666666666667
chr1,153671028,4,-,5,37.0
chr1,153663131,6,-,5,119.2
chr1,153665722,4,-,2,403.5
chr1,153667658,5,-,4,169.0
chr1,153669872,4,-,5,97.4
chr1,153670232,13,-,15,59.8
chr1,153808820,3,+,9,30.88888888888889
chr1,153991686,71,+,75,137.10666666666665
chr1,153992161,2774,+,3037,73.25979585116892
chr1,154006313,15,+,16,47.8125
chr1,154013083,20,+,1,62.0
chr1,154263504,4,+,12,58.333333333333336
chr1,154270852,4,+,12,66.08333333333333
chr1,154275875,123,+,137,66.52554744525547
chr1,153951483,6,-,5,126.2
chr1,153958621,7,-,6,37.166666666666664
chr1,153955588,3,-,7,68.71428571428571
chr1,153963559,25,-,8,34.125
chr1,153982791,6,-,14,78.07142857142857
chr1,153986225,4,-,3,54.333333333333336
chr1,153986342,9,-,25,117.72
chr1,153986395,5,-,21,28.0
chr1,154170471,9,-,8,26.625
chr1,154170713,6,-,4,140.25
chr1,154172103,4,-,4,225.25
chr1,154173195,5,-,4,136.5
chr1,154176212,7,-,3,87.0
chr1,154176251,8,-,13,152.69230769230768
chr1,154183221,143,-,23,38.26086956521739
chr1,154220619,96,-,16,75.6875
chr1,154221486,6,-,5,76.2
chr1,154859876,3,-,3,33.666666666666664
