chrom,start,score,strand,read_density,clip_length
chr1,28236356,36,+,24,385.9583333333333
chr1,28095037,5,-,9,59.44444444444444
chr1,28095726,11,-,12,44.25
chr1,28200277,3,-,6,63.166666666666664
chr1,28200553,5,-,88,68.31818181818181
chr1,28200813,18,-,1,260.0
chr1,28209969,9,-,8,152.625
chr1,28239508,5,-,7,80.28571428571429
chr1,28578535,7,-,84,58.55952380952381
chr1,28603095,22,-,26,55.84615384615385
chr1,28603270,5,-,2,81.5
chr1,28505974,4,+,3,40.0
chr1,28507598,23,+,29,48.55172413793103
chr1,28508126,10,+,11,101.27272727272727
chr1,28518247,4,+,11,60.81818181818182
chr1,28529855,5,+,5,55.4
chr1,28736910,17,+,4,78.5
chr1,29147742,3,-,14,75.21428571428571
chr1,29148701,6,-,4,198.75
chr1,29193816,14,-,20,60.8
chr1,30732460,10,-,298,79.29194630872483
chr1,30732478,7,-,310,79.96451612903226
chr1,30732830,8,-,5,118.4
chr1,30733030,6,-,2,300.0
chr1,30733356,9,-,8,51.0
chr1,30733369,4,-,8,18.625
chr1,30733423,4,-,123,67.52032520325203
chr1,30735169,5,-,4,11.0
chr1,30739820,7,-,4,188.0
chr1,31259659,12,-,45,75.0
chr1,31296976,12,+,13,51.84615384615385
chr1,31310043,4,+,13,177.69230769230768
chr1,31365630,18,-,11,81.72727272727273
chr1,31908215,4,-,27,36.925925925925924
chr1,31908718,36,-,15,60.0
chr1,31908742,5,-,12,44.166666666666664
chr1,31908769,3,-,12,46.75
chr1,31908803,13,-,9,34.666666666666664
chr1,31910037,8,-,6,216.16666666666666
chr1,31911711,10,-,6,104.16666666666667
chr1,31915893,7,-,4,149.5
chr1,32072938,8,+,1,69.0
chr1,32200582,5,+,13,44.07692307692308
chr1,32195955,7,-,14,53.714285714285715
chr1,32333831,9,-,57,73.05263157894737
chr1,32222336,8,+,1,15.0
chr1,32222535,5,+,31,110.03225806451613
chr1,32224033,13,+,16,108.4375
chr1,32224409,4,+,3,66.33333333333333
chr1,32226167,3,+,4,239.0
chr1,32226401,6,+,2,32.0
chr1,32229134,4,+,2,72.5
chr1,32230922,7,+,4,198.25
chr1,32251261,3,+,29,35.86206896551724
chr1,32274321,4,+,6,173.0
chr1,32292071,6,+,10,37.9
chr1,32332145,9,+,6,294.0
chr1,32620819,7,-,13,53.53846153846154
chr1,32678571,3,-,6,35.666666666666664
chr1,32775212,15,-,4,80.5
chr1,32775679,10,-,12,93.75
chr1,32651177,5,+,24,35.375
chr1,32651194,6,+,36,34.5
chr1,32651911,5,+,6,125.66666666666667
chr1,32817591,7,+,4,41.75
chr1,33008882,3,-,6,88.66666666666667
chr1,33013038,8,-,89,64.0
chr1,34981527,39,-,20,51.05
chr1,35176353,9,-,4,110.5
chr1,35177317,5,-,4,83.25
chr1,35601819,11,-,10,60.4
chr1,35603136,3,-,316,65.43987341772151
chr1,35609245,4,-,4,136.75
chr1,36088872,32,+,20,36.4
chr1,36136571,3,-,31,68.25806451612904
chr1,36137028,3,-,32,137.15625
chr1,36295954,3,+,5,34.8
chr1,36304444,13,+,44,37.90909090909091
chr1,36455319,3,-,7,41.857142857142854
chr1,36455765,3,-,184,68.30434782608695
chr1,37566815,4,-,19,71.89473684210526
chr1,37860695,9,+,33,64.87878787878788
chr1,37862003,3,-,2,529.5
chr1,37957933,4,-,32,64.9375
chr1,38012715,22,+,18,53.0
chr1,38863491,3,-,11,68.36363636363636
chr1,38864482,6,-,31,85.93548387096774
chr1,38991247,8,+,5,39.8
chr1,39026308,4,+,142,63.774647887323944
chr1,39028719,69,+,71,210.25352112676057
chr1,39028786,12,+,5,53.2
chr1,39560811,12,-,41,69.02439024390245
chr1,39738871,4,+,62,41.03225806451613
chr1,39740162,9,+,9,69.44444444444444
chr1,39742477,11,+,10,40.7
chr1,39747447,3,+,36,40.111111111111114
chr1,39955147,8,+,8,36.75
chr1,40040704,5,+,5,30.2
chr1,40059331,10,+,22,119.77272727272727
chr1,40061734,3,+,3,98.66666666666667
chr1,40064224,4,+,2,265.0
chr1,40067596,4,+,3,426.3333333333333
chr1,40069739,3,+,2,72.5
chr1,40070841,3,+,3,214.33333333333334
chr1,40258242,3,+,5,55.8
chr1,40373696,3,+,11,59.27272727272727
chr1,40300522,3,-,8,91.75
chr1,40691700,8,+,13,41.46153846153846
chr1,40691744,4,+,1,27.0
chr1,41000408,4,+,5,69.8
chr1,42191403,4,-,3,493.3333333333333
chr1,42191643,6,-,4,22.0
chr1,42499775,35,-,97,59.65979381443299
chr1,42700782,40,-,3216,65.64023631840796
chr1,42456510,3,+,4,37.0
chr1,42457245,5,+,6,130.66666666666666
chr1,42499762,51,+,93,61.1505376344086
chr1,42682414,4,+,93,35.61290322580645
chr1,42682619,6,+,5,49.2
chr1,42683401,5,+,9,308.8888888888889
chr1,42696196,12,+,10,455.6
chr1,42696639,3,+,17,391.11764705882354
chr1,42696651,9,+,19,374.2105263157895
chr1,42696684,4,+,11,462.0
chr1,42696742,6,+,162,116.03086419753086
chr1,42696775,13,+,37,178.97297297297297
chr1,42696788,16,+,22,258.27272727272725
chr1,42697167,5,+,22,481.6363636363636
chr1,42700768,53,+,2975,63.38285714285714
chr1,42700774,8,+,3148,65.18043202033037
chr1,42700779,45,+,3188,65.35225846925972
chr1,42700816,13,+,454,92.3237885462555
chr1,42700829,3,+,181,99.8121546961326
chr1,42700836,5,+,144,91.59722222222223
chr1,42700867,7,+,88,87.27272727272727
chr1,42700892,11,+,60,130.25
chr1,42700901,12,+,55,145.3090909090909
chr1,42700928,6,+,53,205.30188679245282
chr1,42767231,12,+,4,36.5
chr1,42807051,30,-,26,60.42307692307692
chr1,42846603,5,+,5,23.0
chr1,43164177,6,-,9,79.88888888888889
chr1,43164288,4,-,44,63.45454545454545
chr1,43164408,6,-,5,41.0
chr1,43164642,6,-,5,72.4
chr1,43363398,7,-,51,64.49019607843137
chr1,43383907,4,-,19,72.63157894736842
chr1,43358931,32,+,9,20.88888888888889
chr1,43359164,24,+,19,107.42105263157895
chr1,43360788,6,+,2,415.5
chr1,43977022,8,+,4,911.25
chr1,44221079,11,-,43,68.4186046511628
chr1,44753701,9,-,14,22.214285714285715
chr1,44780273,22,-,39,75.35897435897436
chr1,44753704,3,+,14,22.214285714285715
chr1,44775503,35,+,3,48.333333333333336
chr1,44776025,17,+,1090,84.77247706422018
chr1,44776667,6,+,121,266.43801652892563
chr1,44777594,9,+,100,216.6
chr1,44777611,5,+,138,205.94202898550725
chr1,44777615,3,+,144,200.60416666666666
chr1,44777631,4,+,143,175.25874125874125
chr1,44777656,8,+,48,160.85416666666666
chr1,44777998,136,+,101,226.64356435643563
chr1,45550798,39,+,19,99.47368421052632
chr1,45551034,3,+,35,33.02857142857143
chr1,45561778,4,+,3,82.66666666666667
chr1,45567700,15,+,2,378.5
chr1,45567826,4,+,1,662.0
chr1,45567899,4,+,3,456.3333333333333
chr1,45568045,8,+,3,2.3333333333333335
chr1,45568923,15,+,14,124.14285714285714
chr1,45511106,13,-,16,91.875
chr1,45511161,3,-,9,79.44444444444444
chr1,45511199,4,-,9,51.77777777777778
chr1,45514506,3,-,8,153.25
chr1,45514871,6,-,5,163.6
chr1,45515652,6,-,5,412.0
chr1,45584010,3,+,2,12.5
chr1,45611851,12,+,53,38.113207547169814
chr1,45688174,21,+,28,40.57142857142857
chr1,46303678,7,+,496,60.88911290322581
chr1,46309098,3,+,18,189.5
chr1,46310151,3,+,29,389.17241379310343
chr1,46310171,31,+,34,406.02941176470586
chr1,46340719,10,+,6,47.5
chr1,46188682,5,-,9,85.11111111111111
chr1,47333861,8,+,7,37.285714285714285
chr1,51729818,10,+,4,11.75
chr1,51789191,7,-,20,63.15
chr1,51840365,9,-,1,67.0
chr1,52056253,34,+,13,31.692307692307693
chr1,52431142,4,-,4,23.5
chr1,52602361,9,+,7,42.0
chr1,52772124,14,-,40,52.375
chr1,52907087,3,-,5,26.8
chr1,52880065,5,+,8,57.875
chr1,53014903,4,+,6,167.66666666666666
chr1,53038914,9,+,4,110.5
chr1,53214098,8,-,16,65.375
chr1,53921554,5,-,162,79.81481481481481
chr1,54031662,3,-,24,62.166666666666664
chr1,54032007,28,-,118,68.03389830508475
chr1,54200163,70,+,22,40.13636363636363
chr1,54200254,11,+,5,97.6
chr1,54212497,7,+,2,42.5
chr1,54715850,5,+,11,71.9090909090909
chr1,58056046,7,-,10,62.9
chr1,61681045,5,-,67,72.49253731343283
chr1,63440762,7,-,91,57.010989010989015
chr1,63449447,3,-,5,68.0
chr1,63587456,8,+,1,75.0
chr1,63593321,10,+,3,32.0
chr1,64833228,4,-,8,60.25
chr1,65147576,3,+,4,38.75
chr1,65148128,16,+,4,26.25
chr1,65148989,9,+,13,31.76923076923077
chr1,65190707,3,+,4,108.0
chr1,65226804,4,+,8,106.375
chr1,66930278,7,+,3,17.333333333333332
chr1,66985814,4,+,14,42.214285714285715
chr1,67411022,3,-,4,73.75
chr1,67411788,3,-,2,56.0
chr1,67412708,5,-,3,71.0
chr1,67412787,8,-,9,41.77777777777778
chr1,67413066,3,-,8,255.125
chr1,67424198,6,-,20,63.35
chr1,67426179,4,-,1,25.0
chr1,70205692,3,+,8,65.0
chr1,70221640,6,+,1,10.0
chr1,70230699,3,+,5,61.6
chr1,70244681,5,+,7,473.0
chr1,70249954,3,+,2,245.5
chr1,70250360,5,+,4,113.75
chr1,71063290,7,-,7,51.142857142857146
chr1,71065045,8,-,12,73.25
chr1,71072469,7,-,5,86.8
chr1,74198245,5,+,5,92.4
chr1,74733142,31,+,12,97.08333333333333
chr1,74705481,6,-,76,72.0657894736842
chr1,74705784,6,-,3,43.333333333333336
chr1,75724688,3,+,20,26.25
chr1,75728399,5,+,9,207.22222222222223
chr1,75734330,3,+,12,48.166666666666664
chr1,75745804,3,+,3,12.666666666666666
chr1,75749416,4,+,4,166.0
chr1,75761119,7,+,2,471.0
chr1,76699749,39,+,100,36.21
chr1,76699746,3,-,99,36.22222222222222
chr1,76699924,3,-,3,198.66666666666666
chr1,77129077,20,+,45,76.62222222222222
chr1,77129075,15,-,45,76.62222222222222
chr1,77772955,28,+,63,55.20634920634921
chr1,77695985,10,-,18,48.55555555555556
chr1,77772978,15,-,74,55.148648648648646
chr1,77926777,19,+,3,33.333333333333336
chr1,77944049,10,-,96,65.51041666666667
chr1,77948384,14,-,23,77.52173913043478
chr1,78643143,8,-,25,157.64
chr1,78620428,3,+,68,45.75
chr1,78629722,4,+,6,277.0
chr1,78635335,6,+,3,390.3333333333333
chr1,78635965,8,+,66,44.65151515151515
chr1,78641022,3,+,4,55.75
chr1,78641433,3,+,4,706.25
chr1,78641487,5,+,4,136.5
chr1,78643142,9,+,25,157.64
chr1,78661363,6,+,5,56.8
chr1,78662702,6,+,2,689.5
chr1,84479250,12,+,13,61.23076923076923
chr1,84479338,15,+,1,72.0
chr1,84498321,14,-,698,72.2593123209169
chr1,84501823,5,-,8,173.0
chr1,84925580,18,-,39,54.38461538461539
chr1,84926320,5,-,15,42.06666666666667
chr1,84926350,5,-,4,33.25
chr1,84971645,7,-,9,55.55555555555556
chr1,84992523,6,-,5,34.6
chr1,85266247,4,-,9,59.55555555555556
chr1,86704545,4,+,1,13.0
chr1,86704770,12,+,5,118.2
chr1,86784876,11,+,13,116.15384615384616
chr1,86862763,13,-,4,70.75
chr1,87328813,13,+,8,72.5
chr1,88852928,50,-,59,59.52542372881356
chr1,88935778,3,-,14,66.21428571428571
chr1,89103107,5,-,75,58.12
chr1,91501111,5,+,5,45.2
chr1,92246404,4,-,3,87.33333333333333
chr1,92832007,40,+,432,34.38194444444444
chr1,92833386,3,+,189,141.2910052910053
chr1,92833541,6,+,68,162.4264705882353
chr1,92834776,7,+,32,118.0625
chr1,92836187,3,+,41,322.4146341463415
chr1,92836204,12,+,56,362.125
chr1,92836221,3,+,49,282.3061224489796
chr1,92836259,11,+,55,332.1454545454545
chr1,92836261,5,+,57,330.82456140350877
chr1,92836269,3,+,51,337.19607843137254
chr1,92837453,22,+,49,284.46938775510205
chr1,92837457,13,+,53,264.41509433962267
chr1,92837472,10,+,73,246.82191780821918
chr1,92837492,18,+,43,195.4418604651163
chr1,92837504,7,+,55,268.3636363636364
chr1,92840004,3,+,59,40.94915254237288
chr1,92840549,28,+,15,441.53333333333336
chr1,93079244,4,+,3,43.666666666666664
chr1,93345893,6,+,5,44.2
chr1,93154343,16,-,18,76.55555555555556
chr1,93264639,3,-,25,49.08
chr1,93338097,26,-,3,74.0
chr1,93362806,6,-,1,75.0
chr1,93869779,10,-,39,61.61538461538461
chr1,95234140,16,+,1,13.0
chr1,96446861,3,+,154,37.45454545454545
chr1,96447059,3,+,6,264.8333333333333
chr1,96448263,7,+,3,9.0
chr1,96446859,7,-,154,37.45454545454545
chr1,96447016,6,-,2,11.5
chr1,96447329,8,-,4,214.75
chr1,96678774,32,+,60,46.733333333333334
chr1,96678759,32,-,25,45.76
chr1,100038093,9,+,11,54.36363636363637
chr1,100266174,22,+,2,41.5
chr1,100989622,4,-,5,77.2
chr1,100990058,44,-,52,76.07692307692308
chr1,101236726,15,+,23,53.130434782608695
chr1,101371450,19,+,1,14.0
chr1,101383415,3,+,6,80.0
chr1,101396510,21,-,48,73.97916666666667
chr1,101786242,48,+,87,52.91954022988506
chr1,101786254,31,-,89,53.1123595505618
chr1,108992252,13,-,33,103.75757575757575
chr1,109090743,5,+,4,20.0
chr1,109213890,4,+,14,41.07142857142857
chr1,109401837,6,-,195,74.55384615384615
chr1,109656073,20,+,3,167.0
chr1,109668045,9,+,8,117.25
chr1,109687796,4,+,12,41.916666666666664
chr1,110401248,18,-,331,63.28700906344411
chr1,110871145,3,+,2,14.0
chr1,110873110,8,+,7,46.0
chr1,110891389,16,+,17,174.35294117647058
chr1,110892343,18,+,9,118.77777777777777
chr1,110894957,7,+,6,223.5
chr1,110896652,4,+,1,402.0
chr1,110897806,7,+,7,398.0
chr1,111117326,3,-,10,62.9
chr1,111117899,6,-,135,59.355555555555554
chr1,111125378,7,-,8,42.125
chr1,111140222,4,+,7,31.428571428571427
chr1,111187169,11,-,162,66.8395061728395
chr1,111440869,4,-,2,33.0
chr1,111449439,5,+,98,54.5
chr1,111449835,9,+,13,149.15384615384616
chr1,111454208,9,+,17,214.47058823529412
chr1,111456627,5,+,8,106.375
chr1,111459455,10,+,6,213.0
chr1,111619799,62,+,24,29.875
chr1,111691329,21,+,19,195.68421052631578
chr1,111695339,5,+,6,290.8333333333333
chr1,111703334,5,+,4,87.75
chr1,111709146,4,+,3,163.33333333333334
chr1,112670351,3,-,92,34.72826086956522
chr1,112619787,3,+,3,18.333333333333332
chr1,112647207,3,+,6,62.666666666666664
chr1,112653554,6,+,46,41.32608695652174
chr1,112693666,5,+,11,58.27272727272727
chr1,114567711,4,-,6,69.5
chr1,114716917,3,-,14,78.0
chr1,114717291,3,-,18,58.27777777777778
chr1,114717971,4,-,54,71.64814814814815
chr1,116373238,7,+,30,51.733333333333334
chr1,116396615,5,+,6,15.833333333333334
chr1,116397918,7,+,4,64.75
chr1,116398618,10,+,4,196.25
chr1,116398927,5,+,3,60.333333333333336
chr1,116399421,5,+,3,479.0
chr1,116400859,7,+,3,308.6666666666667
chr1,116401128,11,+,6,361.8333333333333
chr1,116401553,11,+,5,617.0
chr1,116403883,14,+,13,459.0
chr1,116514532,3,-,108,77.87962962962963
chr1,116521785,5,-,30,54.06666666666667
chr1,116535875,5,-,5,67.4
chr1,116535988,5,-,2,222.5
chr1,117098188,3,+,5,47.8
chr1,117958767,8,+,6,55.0
chr1,119711897,7,+,3,14.333333333333334
chr1,120155203,6,-,16,55.125
chr1,120155943,3,-,5,61.8
chr1,120267333,9,-,18,61.0
chr1,120723875,8,+,1,63.0
chr1,120913211,20,+,2,44.5
chr1,121167718,3,-,13,66.6923076923077
chr1,121168596,4,-,2,3.5
chr1,143955362,3,-,13,66.6923076923077
chr1,143956242,4,-,2,3.5
chr1,144227029,11,-,12,86.5
chr1,144545894,6,-,6,81.66666666666667
chr1,144716075,11,+,15,33.2
chr1,145096002,5,+,11,31.636363636363637
chr1,145096406,4,+,3,201.0
chr1,145607981,6,+,3,31.0
chr1,145824176,14,+,1,66.0
chr1,145746404,5,-,4,314.75
chr1,145911347,9,-,44,61.84090909090909
chr1,145925714,5,-,146,71.43835616438356
chr1,145992434,11,-,20,50.95
chr1,145964677,8,+,9,25.0
chr1,146320003,6,-,13,45.07692307692308
chr1,146320750,6,-,3,60.333333333333336
chr1,147178038,7,-,11,50.54545454545455
chr1,147647366,6,-,18,74.22222222222223
chr1,147928384,7,+,3,31.0
chr1,148770787,6,-,13,48.61538461538461
chr1,148771531,3,-,4,71.25
chr1,148770788,6,+,13,48.61538461538461
chr1,149175827,6,+,1,234.0
chr1,149176075,9,+,18,60.333333333333336
chr1,149345657,11,+,22,195.8181818181818
chr1,149358021,3,+,16,56.125
chr1,149607117,10,+,1,14.0
chr1,149833236,16,+,34,40.73529411764706
chr1,149859182,14,-,12,58.333333333333336
chr1,149859342,16,-,14,67.92857142857143
chr1,149923301,6,-,51,78.29411764705883
chr1,150218413,10,-,27,72.74074074074075
chr1,150218500,11,-,2,120.0
chr1,150265403,10,-,15,93.86666666666666
chr1,150294332,7,-,79,97.75949367088607
chr1,150218416,12,+,27,72.74074074074075
chr1,150218508,9,+,2,120.0
chr1,150272670,3,+,3,31.0
chr1,150272727,14,+,3,34.0
chr1,150293845,198,+,121,59.421487603305785
chr1,150293976,8,+,3,89.66666666666667
chr1,150321549,4,+,8,43.875
chr1,150348460,7,+,9,48.77777777777778
chr1,150487405,4,+,6,50.666666666666664
chr1,150609559,5,-,7,50.57142857142857
chr1,150622115,7,-,55,71.05454545454545
chr1,150622592,9,-,4,56.25
chr1,150732376,4,-,46,72.47826086956522
chr1,150732584,3,-,3,36.333333333333336
chr1,150732907,5,-,2,348.5
chr1,151052658,19,-,18,78.11111111111111
chr1,151156632,11,+,9,144.88888888888889
chr1,151198530,6,+,3,76.66666666666667
chr1,151254722,4,+,17,34.529411764705884
chr1,151292126,6,-,9,66.22222222222223
chr1,151340639,3,-,4,69.25
chr1,151341903,6,-,1,1.0
chr1,151399545,3,+,675,50.41777777777778
chr1,151399556,21,+,718,50.72423398328691
chr1,151399980,44,+,19,247.0
chr1,151400441,19,+,10,344.5
chr1,151400761,11,+,8,227.0
chr1,151400941,12,+,11,23.636363636363637
chr1,151401233,20,+,7,199.57142857142858
chr1,151401536,15,+,6,81.0
chr1,151428217,5,-,11,35.63636363636363
chr1,151759641,6,-,61,71.45901639344262
chr1,152032505,6,-,63,66.17460317460318
chr1,153534595,11,-,129,67.44961240310077
chr1,153543612,10,-,65,78.13846153846154
chr1,153618786,9,-,32,68.53125
chr1,153634046,23,+,9,36.111111111111114
chr1,153643307,3,+,4,155.75
chr1,153658674,14,+,10,61.2
chr1,153661789,4,-,4,58.25
chr1,153662025,7,-,118,72.28813559322033
chr1,153806569,3,+,9,71.66666666666667
chr1,153990735,15,+,48,70.8125
chr1,153991112,19,+,275,117.97818181818182
chr1,153991560,64,+,26,377.7307692307692
chr1,154259726,4,+,6,51.5
chr1,154272602,4,+,56,33.642857142857146
chr1,154273339,6,+,3,91.66666666666667
chr1,154273789,8,+,2,421.5
